id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
83,Antiquity,1st-2nd,D. Iunii Iuvenalis Saturae,http://www.curculio.org/Juvenal/index.html,yes,yes,yes,LAT,not provided,1998,2001,Michael Hendry,not provided,not provided,partly,not provided,not provided,no,no,no,no,no,no,no,LAT,no,no,no,no,no,yes,no,no,no,no,yes,no,Keyed,no,not provided,not provided,Various,Italy,not provided,no,not provided,yes,no,no,not provided,21.11115/0000-000B-D0D2-C
84,Middle Ages,8th-12th,Codice Diplomatico della Lombardia Medievale,http://cdlm.unipv.it/,yes,yes,yes,LAT,Codex,2000,present,Michele Ansani,Università degli Studi di Pavia,Scholars,yes,partly,yes,no,no,no,no,no,no,ITA,ITA,no,no,yes,yes,no,partly,no,no,no,no,partly,no,Keyed,no,no,not provided,Various,Italy,Fondazione Cariplo; Provincia di Sondrio; Centro Internazionale di Ricerca per le Storie Locali e le Diversità Culturali dell’ Università degli Studi dell' Insubria,not provided,XHTML; CSS,no,no,yes,not provided,21.11115/0000-000B-D0D3-B
85,Middle Ages,1343-1400,Geoffrey Chaucer's Book of the Duchess: A Hypertext Edition,http://press.ucalgary.ca/books/9781552380369,yes,yes,yes,ENG,Manuscript,1997,2000,Murray McGillivray,University of Calgary,not provided,partly,not provided,not provided,yes,no,no,not provided,not provided,not provided,not provided,ENG,yes,not provided,not provided,not provided,no,no,no,no,no,no,not provided,no,Keyed,no,not provided,not provided,Bodleian Library; University of Oxford,England,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0D4-A
86,Antiquity,not provided,Inscriptiones Graecae in Croatia Repertae (IGCR),http://www.ffzg.unizg.hr/klafil/dokuwiki/doku.php/z:epidoc-hrvatska,yes,yes,yes,GRC,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,not provided,not provided,Nino Zubović,University of Zagreb,not provided,partly,not provided,yes,yes,no,no,no,no,no,not provided,HRV,no,no,yes,no,yes,yes,no,no,no,no,no,yes,Keyed,no,not provided,not provided,Various,Various,Department of Classical Philology of the Faculty of Humanities and Social Sciences at the University of Zagreb,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0D5-9
87,Middle Ages,1317-1468,The Gascon Rolls Project,http://www.gasconrolls.org/en/,yes,yes,yes,LAT,Roll,2008,present,Paul Spence,King's College London (Department of Digital Humanities); University of Liverpool,General public,partly,not provided,yes,yes,no,yes,yes,no,no,not provided,ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,partly,no,Keyed,yes,not provided,not provided,The National Archives,South-western France (Aquitaine),Laboratoire d'excellence LaScArBx; Banque Numérique des Savoirs d'Aquitaine; Chateau Ausone (Saint-Emilion) and Jonathan Sumption,not provided,Django; Kiln; Mezzanine; Bootstrap,no,no,yes,not provided,21.11115/0000-000B-D0D6-8
88,Middle Ages,15th,The Hengwrt Chaucer Digital Facsimile,http://www.sd-editions.com/AnaAdditional/HengwrtEx/images/hgopen.html,yes,yes,yes,ENM,Manuscript,not provided,not provided,Peter Robinson,University of Birmingham,not provided,partly,not provided,not provided,yes,no,yes,yes,no,no,not provided,ENG,no,no,yes,yes,no,no,no,no,no,no,no,no,Keyed,no,not provided,not provided,National Library of Wales,England,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0D7-7
89,Long Nineteenth Century,1767-1974,Carl-Maria-von-Weber-Gesamtausgabe,http://www.weber-gesamtausgabe.de/en/Index,yes,yes,yes,GER,Manuscript; Letter; Diary; Draft; Journal,not provided,present,Joachim Veit; Peter Stadler,University of Paderborn; Staatsbibliothek Berlin Preußischer Kulturbesitz,not provided,yes,yes,yes,yes,yes,yes,yes,no,no,not provided,GER; ENG (partial),no,yes,yes,yes,yes,Open Access and Open Source (some data),no,yes,no,yes,partly,yes,Keyed,yes,no,no,Various,Various,Akademie der Wissenschaften und der Literatur Mainz,not provided,EXist-db; XSLT; XQuery,yes,no,yes,not provided,21.11115/0000-000B-D0D8-6
90,Long Nineteenth Century,1871,Livingstone's 1871 Field Diary,http://livingstone.library.ucla.edu/1871diary/manuscript1.htm,yes,yes,yes,ENG,Diary,not provided,2013,Adrian S. Wisnicki,University of California; Indiana University of Pennsylvania; Birkbeck College; Rochester Institute of Technology; Edinburgh Napier University,not provided,yes,not provided,yes,yes,yes,yes,yes,no,no,no,ENG,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,Keyed,no,yes,not provided,Various,Various,National Endowment for the Humanities; British Academy,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0D9-5
91,Antiquity,not provided,Hyperdonat,http://hyperdonat.ens-lyon.fr/,yes,yes,yes,LAT,Edition,2007,present,Bruno Bureau,Université Jean Moulin Lyon 3; Université d'Angers; École Normale Supérieure de Lyon; École Nationale Supérieure des Sciences de l'Information et des Bibliothèques (ENSSIB); École de l’Innovation et de l’Expertise Informatique (EPITECH),not provided,partly,not provided,not provided,yes,no,no,not provided,not provided,not provided,not provided,FRE,no,no,no,no,yes,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Various,Région Rhône-Alpes; ENS de Lyon; Atelier des Humanités Numériques; UMR 5189 (HiSoMA),not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0DA-4
92,Antiquity,2nd-12th,Inscriptions of Aphrodisias Project,http://insaph.kcl.ac.uk/index.html,yes,yes,yes,GRC,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,2002,2006,Charlotte Roueché,King's College London (Department of Classics); King's College London (Department of Digital Humanities); University of Heidelberg; University College London; University of North Carolina,not provided,yes,partly,yes,yes,yes,yes,no,no,no,no,ENG,yes,yes,yes,no,yes,Open Access and Open Source (some data),yes,no,no,no,yes,yes,Keyed,no,yes,not provided,Aphrodisias,"Aphrodisias, Turkey",Leverhulme Trust,"£250,000.00",xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D0DB-3
93,Antiquity,1st BC-4th AD,Inscriptions of Roman Cyrenaica,http://ircyr.kcl.ac.uk/,yes,yes,yes,GRC; LAT,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,2007,2010,Charlotte Roueché,King's College London (Department of Classics); King's College London (Department of Digital Humanities); Department of Antiquities (Libya); University of North Carolina; British School at Rome,not provided,partly,not provided,yes,yes,no,no,no,no,no,not provided,ENG,no,no,yes,no,yes,no,no,no,no,no,no,yes,Keyed,no,not provided,not provided,not provided,"Cyrene, Libya",Leverhume Trust,not provided,xMod (KCL custom),no,no,yes,not provided,21.11115/0000-000B-D0DC-2
94,Antiquity,1st BC-8th AD,Inscriptions of Roman Tripolitania,http://irt.kcl.ac.uk/irt2009/,yes,yes,no,LAT,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,not provided,2009,Charlotte Roueché,King's College London (Department of Classics); King's College London (Department of Digital Humanities); British School at Rome,not provided,yes,not provided,partly,yes,no,yes,no,no,no,no,ENG,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,Keyed,no,yes,yes,not provided,"Tripoli, Libya",JISC; The Leverhulme Trust; National Endowment for the Humanities,not provided,xMod (KCL custom),no,no,yes,not provided,21.11115/0000-000B-D0DD-1
95,Middle Ages,840-912,e-sequence: Digital Edition of the Saint Gall corpus of Sequences by Notker Balbulus,http://www.e-sequence.eu/en/,no,yes,yes,LAT,Manuscript,not provided,not provided,Christoph Flüeler,University of Fribourg; Christophorus Records; Musikwissenschaftliches Institut der Universität Tübingen; Stiftsbibliothek St. Gallen; Südwest-Rundfunk Tübingen,Musicologists and manuscript researchers; general public,partly,not provided,yes,no,no,yes,yes,no,no,GER,GER; ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,yes,not provided,yes,Abbey of Saint Gall,Abbey of St. Gall,Accentus Foundation; Ernst Goehner Foundation,"20,000 CHF",CodeIgniter; HTML5; PHP; MySQL; jQuery; jPlayer,yes,no,no,not provided,21.11115/0000-000B-D0DE-0
96,Early Modern,1633,Phineas Fletcher's Sylva Poetica,http://www.philological.bham.ac.uk/sylva/,yes,yes,yes,LAT,Manuscript,1998,1999,Dana Sutton,University of California Irvine,not provided,partly,not provided,not provided,no,no,no,no,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,yes,no,yes,Keyed,yes,not provided,not provided,University of Cambridge,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0DF-F
97,Early Modern,17th-18th,The Latin Prose and Poetry of Joseph Addison,http://www.philological.bham.ac.uk/Addison/,yes,yes,yes,LAT,Manuscript,1997,2005,Dana Sutton,University of California Irvine,not provided,partly,not provided,not provided,no,no,no,no,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,yes,no,yes,Keyed,yes,not provided,not provided,not provided,England,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0E0-C
98,Long Nineteenth Century,1869,"History in the Making: preparation of a genetic edition, dataset and hypertext of Part III, Chapter 1 of Flaubert's L'Education Sentimentale",http://www.hull.ac.uk/hitm/,no,yes,yes,FRE,Manuscript; Folio; Draft; Sketch; Plan,not provided,not provided,David Williams,University of Hull,not provided,partly,not provided,not provided,no,no,yes,no,no,no,not provided,ENG,not provided,not provided,no,no,no,yes,not provided,not provided,no,not provided,no,no,Keyed,no,not provided,not provided,not provided,France,Arts and Humanities Research Board; University of Hull; Leverhulme Trust,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E1-B
99,Middle Ages,15th,An electronic corpus of 15th century Castillian canconiero manuscripts,http://cancionerovirtual.liv.ac.uk/,yes,yes,no,SPA,Manuscript,not provided,not provided,Dorothy Severin,University of Liverpool; University of Birmingham; Universitat de Barcelona,not provided,yes,not provided,yes,yes,no,partly,no,no,no,not provided,ENG,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,University of Salamanca,Italy; Spain; France; United Kingdom; USA,AHRC; MHRA; University of Liverpool,not provided,Collate; BBEdit; Anstasia; Apache,no,no,no,not provided,21.11115/0000-000B-D0E2-A
100,Antiquity,2nd,"Galenus' commentary on Hippocrates' ""On the articulations""",http://pom.bbaw.de/cmg/,yes,yes,yes,GRC,Manuscript,not provided,not provided,Günter Stock,Berlin-Brandenburgische Akademie der Wissenschaften,not provided,partly,not provided,yes,no,no,no,no,no,no,no,GER,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,not provided,Berlin-Brandenburgische Akademie der Wissenschaften,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0E3-9
101,Middle Ages,9th,Edition der falschen Kapitularien des Benedictus Levita,http://www.benedictus.mgh.de/,yes,yes,yes,LAT,Manuscript,1998,present,Gerhard Schmitz;Veronika Lukas,Monumenta Germaniae Historica,scholars,partly,yes,yes,no,no,partly,yes,no,no,no,GER,no,no,yes,no,no,yes,no,no,no,yes,partly,yes,Keyed,no,yes,yes,Bibliothèque Nationale de France; Biblioteca Apostolica Vaticana; Monserrat BA; Troyes BM,Various,not provided,not provided,JavaScript; HTML; PHP; TUSTEP; Python,yes,no,yes,not provided,21.11115/0000-000B-D0E4-8
102,Antiquity,744 BC-669 BC,The Royal Inscriptions of the Neo-Assyrian Period,http://oracc.museum.upenn.edu/rinap/,yes,yes,yes,ARA; ARC; SYC; PER,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,2007,2017,Grant Frame,University of Pennsylvania,Scholars; students; general public,partly,not provided,yes,partly,no,no,no,no,no,not provided,ENG,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,Keyed,no,yes,yes,Various,"Iraq, Syria, Iran, Turkey, and other parts of the Middle East",National Endowment for the Humanities,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E5-7
103,Middle Ages,13673-1438,Book of Margery Kempe,http://english.selu.edu/humanitiesonline/kempe/index.php,no,yes,yes,ENM,Manuscript,not provided,present,Joel W. Fredell,British Library; Southeastern Louisiana University,not provided,partly,yes,yes,partly,no,yes,yes,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,no,yes,no,Keyed,yes,not provided,no,British Library,"King's Lynn, United Kingdom",not provided,not provided,HTML; CSS; Showcase; PROTOtypeR; Andron Scriptor Web,no,no,no,not provided,21.11115/0000-000B-D0E6-6
104,Middle Ages,1332-1347,William of Ockham: Dialogus,http://www.britac.ac.uk/pubs/dialogus/ockdial.html,yes,yes,no,LAT,Manuscript,1995,present,John Kilcullen,British Academy,General public,yes,not provided,not provided,no,no,no,no,no,no,ENG,ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Various,Germany,British Academy,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E7-5
105,Middle Ages,11th,Domesday Explorer,http://www.domesdaybook.net,no,no,no,LAT,Manuscript,1980,2010,John Palmer,University of Hull,Scholars; students; general public,yes,not provided,not provided,no,not provided,yes,yes,no,no,not provided,ENG,not provided,not provided,not provided,not provided,no,not provided,not provided,no,no,not provided,not provided,no,Keyed,no,yes,not provided,The National Archives,"Royal Treasury, Winchester Castle, UK",AHRC,not provided,CDROM,yes,no,yes,not provided,21.11115/0000-000B-D0E8-4
106,Long Nineteenth Century,19th,Chopin's First Editions Online,http://www.cfeo.org.uk/index.html,yes,yes,yes,ENG; FRE; GER; POL,Manuscript,2004,2007,John Rink,King's College London (Department of Digital Humanities); Royal Holloway; British Library; Bodleian Library; Bibliothèque Nationale de France; New York Public Library; Narodowy Instytut Fryderyka Chopina; University of Chicago Library; Österreichische Nationalbibliothek,not provided,partly,not provided,not provided,no,no,yes,yes,no,no,not provided,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,partly,no,Keyed,yes,not provided,not provided,Bibliothèque Nationale de France; Bodleian Library; British Library; Narodowy Instytut Fryderyka Chopina; University of Chicago Library; 17 other small libraries,Various,AHRC,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E9-3
107,Long Nineteenth Century,1787-1817,Jane Austen's Fiction Manuscripts,http://www.janeausten.ac.uk/index.html,yes,yes,yes,ENG,Manuscript,not provided,not provided,Kathryn Sutherland,King's College London (Department of Digital Humanities); University of Oxford,Scholars,partly,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,yes,Bodleian Library; British Library; The Morgan Library and Museum; King's College Cambridge; private ownership,England; United States,AHRC,not provided,Kiln (former xMod),yes,http://ride.i-d-e.de/issues/issue-5/jane-austens-fiction-manuscripts/,yes,not provided,21.11115/0000-000B-D0EA-2
108,Long Nineteenth Century,1855-1892,The Walt Whitman Archive,http://www.whitmanarchive.org/,yes,yes,yes,ENG,Manuscript,1995,present,Kenneth M. Price,University of Nebraska,not provided,yes,not provided,not provided,yes,yes,yes,yes,no,no,not provided,ENG,no,no,yes,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0EB-1
109,Long Nineteenth Century; Modern,1868-1935,Schenker Documents Online,http://www.schenkerdocumentsonline.org,yes,yes,yes,GER,Manuscript,2010,2013,Marilyn Deegan,King's College London (Department of Digital Humanities); Universität für Musik und darstellende Kunst; University of Southampton,Scholars; librarians; archivists; general public,yes,not provided,not provided,yes,no,no,no,no,no,ENG,ENG,no,yes,yes,no,no,Open Access and Open Source (some data),no,no,no,yes,no,no,Keyed,no,yes,not provided,Various,Various,not provided,not provided,xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D0EC-0
110,Long Nineteenth Century,1810-1849,Online Chopin Variorum Edition,http://www.ocve.org.uk/index.html,yes,yes,yes,ENG; FRE; GER; POL,Manuscript,2005,2014,Marilyn Deegan; John Rink,King's College London (Department of Digital Humanities),Scholars; general public,yes,not provided,not provided,partly,no,yes,yes,no,no,not provided,ENG,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,not provided,yes,not provided,not provided,Various,Various,not provided,not provided,xMod (KCL custom),no,no,yes,not provided,21.11115/0000-000B-D0ED-F
111,Early Modern,1563; 1570; 1576; 1583,John Foxe's The Acts and Monuments Online,http://www.johnfoxe.org/,yes,yes,yes,GRC; LAT; ENM,Manuscript,1996,2011,Mark Greengrass,University of Sheffield; University of Ohio; British Academy,not provided,partly,not provided,not provided,yes,no,no,no,no,no,no,ENG,no,yes,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,England,AHRC; British Academy,not provided,Microsoft Access; JavaScript,no,no,no,not provided,21.11115/0000-000B-D0EE-E
112,Middle Ages,1304-1374,Oregon Petrarch Open Book Project,http://petrarch.uoregon.edu/,yes,yes,yes,ITA,Manuscript,2003,present,Massimo Lollini,University of Oregon,Scholars; students; teachers; translators,yes,yes,yes,yes,no,yes,no,no,no,FRE; SPA,ENG,not provided,not provided,yes,no,no,partly,no,no,no,yes,yes,yes,Keyed,yes,not provided,yes,not provided,Italy,not provided,not provided,Drupal,yes,no,no,not provided,21.11115/0000-000B-D0EF-D
113,Middle Ages,1486,Conclusiones CM,http://www.stg.brown.edu/projects/pico/about.php,yes,yes,no,LAT,Manuscript,2002,not provided,Massimo Riva,Brown University,Scholars,yes,not provided,not provided,partly,no,no,no,no,no,SPA,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,British Library,Italy,Computing and Information Services at Brown University,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F0-A
114,Middle Ages,1349-1353,Decameron Web,http://www.brown.edu/Departments/Italian_Studies/dweb/index.php,no,yes,no,ITA,Printed book,not provided,2015,Massimo Riva,Brown University,College and high school teachers and students; independent readers and scholars,no,not provided,not provided,yes,no,no,no,no,no,ENG,ENG,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,not provided,no,not provided,not provided,not provided,Italy,National Endowment for the Humanties,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0F1-9
115,Middle Ages,1487-1496,Pico della Mirandola: De hominis dignitate,http://www.brown.edu/Departments/Italian_Studies/pico/index.html,yes,yes,yes,LAT,Manuscript,not provided,not provided,Massimo Riva,Brown University,not provided,yes,not provided,not provided,no,no,yes,no,no,no,not provided,ITA; ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,John Hay Library; Università degli Studi di Bologna; Biblioteca Comunale dell'Archiginnasio di Bologna,Italy; United States,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0F2-8
116,Antiquity,500 BC-640 AD,Inscriptions of Israel/Palestine,http://www.stg.brown.edu/projects/Inscriptions/index.shtml,yes,yes,yes,HEB; ARC; GRC; LAT,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,1996,not provided,Michael Satlow; Elli Mylonas,Brown University,not provided,yes,not provided,yes,yes,yes,no,no,no,no,ENG,ENG,no,yes,yes,yes,yes,Open Access and Open Source (all data),yes,no,no,yes,partly,yes,Keyed,no,yes,not provided,Israel; Palestine,Israel; Palestine,Center of Digital Scholarship and the Office of the Vice President of Research at Brown University,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F3-7
117,Middle Ages,1200-1210,Parzival-Projekt,http://www.parzival.unibe.ch/home.html,yes,yes,yes,GMH,Manuscript,not provided,not provided,Michael Stolz,University of Bern,Literary and linguistic historians,partly,not provided,not provided,yes,no,yes,no,no,partly,not provided,GER; ENG,no,no,no,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,Various,Germany,Swiss National Science Foundation,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0F4-6
118,Middle Ages,1350-1353,Decameron Ipertestuale,http://www.rose.uzh.ch/static/decameron/index3.htm,yes,yes,yes,ITA,not provided,1998,not provided,Michelangelo Picone,University of Zürich,Specialists; university students and staff; high school students,partly,not provided,not provided,no,no,no,not provided,no,no,not provided,ITA,no,yes,no,yes,no,no,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Italy,Fondo Nazionale Svizzero per la Ricerca Scientifica,not provided,CDROM,yes,no,no,not provided,21.11115/0000-000B-D0F5-5
119,Long Nineteenth Century,1812,Percy Bysshe Shelley: The Devil's Walk,http://www.rc.umd.edu/editions/shelley/devil/index.html,yes,yes,yes,ENG,Manuscript,not provided,1997,Neil Fraistat,University of Maryland,Teachers,partly,not provided,not provided,no,no,no,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,not provided,England,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F6-4
120,Early Modern,1773,Poems by Anna Laetitia Aikin,http://www.rc.umd.edu/editions/contemps/barbauld/poems1773/,yes,yes,yes,ENG,Manuscript,not provided,2000,Neil Fraistat,University of Maryland,Scholars; students,partly,not provided,not provided,no,no,yes,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Bruce Peel Special Collections Library at the University of Alberta,United States,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0F7-3
121,Early Modern; Long Nineteenth Century,1766-1823,The Letters of Robert Bloomfield,http://www.rc.umd.edu/editions/bloomfield_letters/,yes,yes,yes,ENG,Manuscript,not provided,2009,Neil Fraistat,University of Maryland,not provided,partly,not provided,not provided,yes,no,no,no,no,no,no,ENG,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,not provided,England,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F8-2
122,Early Modern,17th,The Shelley-Godwin Archive,http://www.shelleygodwinarchive.org/,yes,yes,yes,ENG,Manuscript,not provided,not provided,Neil Fraistat,"Maryland Institute of Technology in the Humanities (MITH); New York Public Library; Bodleian Library; Houghton Library; Huntington Library, Art Collections, and Botanical Gardens; British Library; Gladys Krieble Delmas Foundation",Scholars; students; general public,yes,not provided,not provided,yes,no,yes,yes,yes,no,no,ENG,no,no,yes,yes,no,Open Access and Open Source (some data),yes,no,no,yes,partly,yes,Keyed,yes,not provided,not provided,"Bodleian Library; Houghton Library; Huntingon Library, Art Collections, and Botanical Gardens",United States; England,not provided,not provided,Drupal (CMS); MITHgrid (engine),yes,no,yes,not provided,21.11115/0000-000B-D0F9-1
123,Long Nineteenth Century,1822,Thomas Lovell Beddoes: The Brides' Tragedy,http://www.rc.umd.edu/editions/beddoes/intro.html,yes,yes,yes,ENG,Manuscript,not provided,2007,Neil Fraistat,University of Maryland,not provided,partly,not provided,not provided,no,no,no,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,not provided,England,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0FA-0
124,Middle Ages,1326-1400,The Online Froissart,http://www.hrionline.ac.uk/onlinefroissart/index.jsp,yes,yes,yes,FRO,Manuscript,2007,2010,Peter Ainsworth,University of Sheffield; University of Liverpool,not provided,yes,not provided,not provided,yes,no,partly,yes,no,no,ENG,ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Various,Various,AHRC,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0FB-F
125,Middle Ages,1350-1425,Welsh Prose 1350-1425,http://www.rhyddiaithganoloesol.caerdydd.ac.uk/en/,yes,yes,yes,WEL,Manuscript,2004,2007,Peter Wynn Thomas,Cardiff University,not provided,yes,not provided,not provided,yes,no,no,no,no,no,no,ENG; WEL,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Various,Wales,AHRC,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0FC-E
126,Early Modern,1642-1727,The Newton Project,http://www.newtonproject.sussex.ac.uk/prism.php?id=1,yes,yes,yes,LAT,Manuscript,1998,present,Robert Iliffe,University of Sussex,General public,yes,yes,yes,yes,yes,no,no,no,no,no,ENG,no,yes,yes,no,yes,Open Access and Open Source (some data),no,no,no,no,partly,yes,Keyed,no,no,no,Cambridge University Library,"Trinity College, Cambridge",University of Sussex; AHRC; JISC; The Royal Society; CORDIS: Community Research and Development Information Service,"£2,600,000.00",JavaScript; Adobe Photoshop; Xmetal; XSLT; BBEdit; Macromedia Studio; Oxygen,yes,no,no,not provided,21.11115/0000-000B-D0FD-D
127,Middle Ages,10th,Vercelli Book Digitale,http://vbd.humnet.unipi.it,yes,yes,yes,LAT,Codex,2003,not provided,Roberto Rosselli Del Turco,Università degli Studi di Torino,Scholars,yes,not provided,yes,yes,no,yes,yes,no,yes,no,ENG,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Archivio Capitolare di Vercelli,"Archivio Capitolare di Vercelli, Italy",Chamber of Commerce Vercelli; Fondazione CRT,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0FE-C
128,Middle Ages,1293-1295,I testimoni della Vita Nova,http://vitanova.unipv.it/,yes,yes,yes,ITA,Manuscript,1999,2001,Simone Albonico,Università degli Studi di Pavia,not provided,partly,not provided,not provided,yes,no,yes,no,no,no,no,ITA,no,yes,no,yes,no,yes,no,no,no,no,no,no,Keyed,no,not provided,not provided,Biblioteca Apostolica Vaticana; Biblioteca Nazionale Centrale di Firenze; Biblioteca Medicea Laurenziana,Italy,MURST - Cofin 1999/2001,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0FF-B
129,Long Nineteenth Century,1818,"Frankenstein; or, the Modern Prometheus",http://knarf.english.upenn.edu/,yes,yes,yes,ENG,Manuscript,not provided,not provided,Stuart Curran,University of Pennsylvania,not provided,partly,not provided,not provided,no,no,no,no,no,no,no,ENG,no,yes,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D100-8
130,Long Nineteenth Century,1837-1873,Livingstone Online,http://www.livingstoneonline.ucl.ac.uk,yes,yes,yes,ENG,Manuscript,2004,2013,Christopher Lawrence,David Livingstone Centre; John Rylands University Library; University of Manchester; King Baudouin Foundation; Royal Botanic Gardens Kew; Mitchell Library; National Library of Scotland; National Museum of the Royal Navy; Royal College of Physicians and Surgeons of Glasgow; Royal Geographical Society; Royal Society; Royal Museum for Central Africa; Royal Society of Arts Library; School of Oriental and African Studies (SOAS) Library at University of London; Wellcome Library,Scholars; students; general public; teachers; scientists; librarians; digital humanists; information technology experts,yes,not provided,not provided,yes,yes,yes,yes,no,no,no,ENG,no,yes,yes,yes,no,Open Access and Open Source (all data),yes,no,no,yes,yes,yes,Keyed,yes,yes,not provided,Various,Various,Wellcome Trust,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D101-7
